lineage,cohen_kappa
XBB.1.5,0.7256620308630215
JN.1,0.8113387327298713
KP.3.1.1,0.8183934807916181
EG.5,0.7352941176470589
HV.1,0.6779244016998435
LP.8.1,0.8386308068459658
FL.1.5.1,0.7423664122137404
XEC,0.7456828885400314
XFG,0.7719298245614035
LB.1,0.5051546391752577
KP.3,0.6616541353383458
XBB.1.16,0.8763683193818416
XBB.2.3,0.849624060150376
BQ.1.1,0.6821659799882284
KP.2.3,0.7130872483221478
XBB,0.7014137606032045
XBB.1.16.6,0.8138222849083216
XBB.1.9.1,0.7721518987341772
HK.3,0.8
JN.1.7,0.6564315352697095
BA.2.86,0.15503397158739973
LB.1.3.1,0.4589371980676329
JD.1.1,0.7785977859778598
KP.2,0.4925912540657752
XBB.1.16.1,0.8691588785046729
JN.1.13.1,0.7093111279333838
BQ.1,0.6326530612244898
JN.1.8.1,0.4183673469387754
MC.1,0.7696245733788396
JN.1.18,0.654054054054054
JN.1.16.1,0.4445640473627557
XEC.4,0.6224350205198359
JG.3,0.7598544572468162
XBB.1.16.11,0.892777364110201
BA.5,0.2578849721706865
KP.1.1.3,0.7938144329896908
XBB.1.5.70,0.8815232722143864
JN.1.16,0.5537190082644627
KP.1.1,0.3882103027084439
CH.1.1,0.8968058968058968
XBB.1.9.2,0.6241718530415579
NB.1.8.1,0.9544159544159544
LF.7.7.2,0.7027683341427877
LF.7,0.9123376623376623
XBB.1.5.1,0.6148874526409628
LP.1,0.5742793791574279
JF.1,0.6435643564356436
GK.1.1,0.8274932614555256
GE.1,0.7689839572192514
KS.1,0.5113122171945701
